filename,width,height,class,xmin,ymin,xmax,ymax
frame_900_png.rf.f1bd1fcc4548e87ea41f93879b7ea2a1.jpg,1820,940,Truck,454,407,675,598
frame_900_png.rf.f1bd1fcc4548e87ea41f93879b7ea2a1.jpg,1820,940,Truck,779,290,1000,579
frame_900_png.rf.f1bd1fcc4548e87ea41f93879b7ea2a1.jpg,1820,940,car,751,455,796,513
Frame_900_png.rf.2e4fc9d7055ceb6eb3a7458236bc9f23.jpg,1820,940,Truck,448,504,699,748
Frame_900_png.rf.2e4fc9d7055ceb6eb3a7458236bc9f23.jpg,1820,940,Truck,760,459,1012,747
Frame_900_png.rf.2e4fc9d7055ceb6eb3a7458236bc9f23.jpg,1820,940,car,704,598,747,636
Frame_900_png.rf.2e4fc9d7055ceb6eb3a7458236bc9f23.jpg,1820,940,car,744,606,811,649
Frame_612_png.rf.b842b92108bf8c9bc712e536f0c7a9e1.jpg,1820,940,Truck,766,559,865,674
Frame_612_png.rf.b842b92108bf8c9bc712e536f0c7a9e1.jpg,1820,940,car,671,601,722,637
Frame_612_png.rf.b842b92108bf8c9bc712e536f0c7a9e1.jpg,1820,940,Truck,834,540,915,636
Frame_864_png.rf.4809314c0317bc43d141b6f6c6ae52cf.jpg,1820,940,Truck,350,478,637,781
Frame_864_png.rf.4809314c0317bc43d141b6f6c6ae52cf.jpg,1820,940,car,645,602,725,659
Frame_864_png.rf.4809314c0317bc43d141b6f6c6ae52cf.jpg,1820,940,Truck,749,482,953,732
frame_612_png.rf.08840772633fdf6efc94cd5509a7d61b.jpg,1820,940,Truck,936,421,1004,496
frame_612_png.rf.08840772633fdf6efc94cd5509a7d61b.jpg,1820,940,Truck,870,436,979,538
frame_612_png.rf.08840772633fdf6efc94cd5509a7d61b.jpg,1820,940,car,805,463,859,502
Frame_648_png.rf.bdd47ef99d0be6d20e4e9606c27eac2a.jpg,1820,940,Truck,829,552,945,687
Frame_648_png.rf.bdd47ef99d0be6d20e4e9606c27eac2a.jpg,1820,940,Truck,943,546,1029,646
Frame_648_png.rf.bdd47ef99d0be6d20e4e9606c27eac2a.jpg,1820,940,car,803,595,836,635
