filename,width,height,class,xmin,ymin,xmax,ymax
frame_360,1820,940,Car,159,457,485,743
frame_360,1820,940,Car,1294,450,1654,723
frame_360,1820,940,Car,623,472,764,578
frame_360,1820,940,Car,1034,464,1146,574
frame_360,1820,940,Car,839,472,878,510
frame_360,1820,940,Car,701,465,791,555
frame_360,1820,940,Car,780,473,845,529
frame_360,1820,940,Car,823,476,845,523
frame_360,1820,940,Truck,1109,287,1396,626
frame_360,1820,940,Truck,957,445,1011,513
frame_360,1820,940,Truck,940,456,961,503
frame_360,1820,940,Car,928,479,945,497
