filename,width,height,class,xmin,ymin,xmax,ymax
Frame_360,1820,940,Car,447,464,641,609
Frame_360,1820,940,Car,713,471,813,536
Frame_360,1820,940,Car,1255,448,1525,649
Frame_360,1820,940,Car,803,461,866,513
Frame_360,1820,940,Car,0,505,180,807
Frame_360,1820,940,Car,1072,467,1127,528
Frame_360,1820,940,Car,851,462,893,502
Frame_360,1820,940,Truck,1122,425,1254,564
Frame_360,1820,940,Truck,1013,447,1060,495
Frame_360,1820,940,Truck,999,457,1015,487
Frame_360,1820,940,Car,889,465,912,489
Frame_360,1820,940,Car,884,466,898,496
