filename,width,height,class,xmin,ymin,xmax,ymax
frame_288_jpg.rf.c27b2afd7492ea5245d6d0aafcb9df1a.jpg,1820,940,car,354,472,593,651
frame_288_jpg.rf.c27b2afd7492ea5245d6d0aafcb9df1a.jpg,1820,940,Truck,1110,0,1820,801
frame_288_jpg.rf.c27b2afd7492ea5245d6d0aafcb9df1a.jpg,1820,940,car,889,470,946,516
frame_288_jpg.rf.c27b2afd7492ea5245d6d0aafcb9df1a.jpg,1820,940,Truck,966,413,1044,516
Frame_252_png.rf.a67be27cb6d6571574cd4c96e2131ab1.jpg,1820,940,car,440,614,655,747
Frame_252_png.rf.a67be27cb6d6571574cd4c96e2131ab1.jpg,1820,940,car,860,606,919,647
Frame_252_png.rf.a67be27cb6d6571574cd4c96e2131ab1.jpg,1820,940,Truck,987,368,1260,732
Frame_252_png.rf.a67be27cb6d6571574cd4c96e2131ab1.jpg,1820,940,Truck,932,524,1002,649
Frame_288_png.rf.139a0dc011e12f087c9a6ad838c573a0.jpg,1820,940,car,427,614,651,751
Frame_288_png.rf.139a0dc011e12f087c9a6ad838c573a0.jpg,1820,940,Truck,1077,0,1816,925
Frame_288_png.rf.139a0dc011e12f087c9a6ad838c573a0.jpg,1820,940,Truck,953,540,1047,631
Frame_288_png.rf.139a0dc011e12f087c9a6ad838c573a0.jpg,1820,940,car,884,601,939,639
Frame_72_png.rf.d21a56f754149a05ba8376eaa523cadd.jpg,1820,940,car,821,611,957,705
Frame_72_png.rf.d21a56f754149a05ba8376eaa523cadd.jpg,1820,940,Truck,877,565,908,623
Frame_72_png.rf.d21a56f754149a05ba8376eaa523cadd.jpg,1820,940,Truck,919,544,963,636
Frame_72_png.rf.d21a56f754149a05ba8376eaa523cadd.jpg,1820,940,Truck,956,482,1072,668
Frame_72_png.rf.d21a56f754149a05ba8376eaa523cadd.jpg,1820,940,car,737,598,760,612
frame_72_jpg.rf.f8008cd1c2cb35610c5e08617040e66c.jpg,1820,940,car,819,465,956,564
frame_72_jpg.rf.f8008cd1c2cb35610c5e08617040e66c.jpg,1820,940,Truck,893,445,923,479
frame_72_jpg.rf.f8008cd1c2cb35610c5e08617040e66c.jpg,1820,940,Truck,961,401,1038,502
frame_72_jpg.rf.f8008cd1c2cb35610c5e08617040e66c.jpg,1820,940,car,805,453,825,471
frame_72_jpg.rf.f8008cd1c2cb35610c5e08617040e66c.jpg,1820,940,Truck,917,434,956,478
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,car,822,613,956,705
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,car,395,589,460,625
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,Truck,942,500,1054,665
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,Truck,875,571,906,619
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,Truck,913,551,956,639
Frame_36_png.rf.81811d5dc869327d2cdad2b9a9f384c9.jpg,1820,940,Truck,789,579,817,610
