filename,class,xmin,ymin,xmax,ymax,confidence
Frame_1440.jpg,car,743,445,880,570,0.9300934672355652
Frame_1440.jpg,car,932,457,1062,556,0.9128594994544983
Frame_1440.jpg,car,898,473,947,519,0.8484838008880615
Frame_1440.jpg,car,1473,449,1568,513,0.7847309708595276
Frame_1440.jpg,traffic light,1087,351,1113,410,0.7730494737625122
Frame_1440.jpg,traffic light,1055,378,1071,422,0.7457789182662964
Frame_1440.jpg,car,1182,462,1229,489,0.6243146657943726
Frame_1440.jpg,car,1151,434,1183,458,0.565763533115387
Frame_1440.jpg,traffic light,669,358,696,417,0.499811589717865
Frame_1440.jpg,traffic light,650,365,667,415,0.3783870041370392
Frame_1440.jpg,traffic light,650,358,696,419,0.2602405846118927
