filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_14.png,1824,944,person,620,440,675,604,0.8633072376251221
frame_14.png,1824,944,person,538,435,576,550,0.8271126747131348
frame_14.png,1824,944,person,587,440,624,545,0.8251419067382812
frame_14.png,1824,944,traffic light,1355,299,1388,390,0.819232702255249
frame_14.png,1824,944,traffic light,498,267,543,377,0.8112255334854126
frame_14.png,1824,944,traffic light,604,307,640,399,0.7938976287841797
frame_14.png,1824,944,traffic light,543,301,578,378,0.7610911130905151
frame_14.png,1824,944,person,368,410,426,607,0.7230460047721863
frame_14.png,1824,944,traffic light,1433,261,1474,371,0.6961803436279297
frame_14.png,1824,944,truck,1521,451,1601,492,0.6316452622413635
frame_14.png,1824,944,person,674,442,725,495,0.6233331561088562
frame_14.png,1824,944,person,489,444,514,506,0.5246943235397339
frame_14.png,1824,944,traffic light,1418,301,1440,371,0.47062793374061584
frame_14.png,1824,944,backpack,627,462,669,514,0.4657838046550751
frame_14.png,1824,944,traffic light,1628,391,1642,429,0.3731893301010132
frame_14.png,1824,944,traffic light,1417,260,1476,374,0.3323473036289215
frame_14.png,1824,944,traffic light,1255,408,1276,455,0.32625362277030945
