filename,width,height,class,xmin,ymin,xmax,ymax,confidence
18.png,1824,940,car,310,442,575,646,0.8811022639274597
18.png,1824,940,car,1416,484,1486,545,0.8759583234786987
18.png,1824,940,person,662,452,688,532,0.8733078837394714
18.png,1824,940,person,743,451,788,564,0.8177353143692017
18.png,1824,940,car,730,479,792,520,0.7851204872131348
18.png,1824,940,person,516,442,544,506,0.7658597826957703
18.png,1824,940,person,563,455,583,528,0.7658535242080688
18.png,1824,940,car,1377,481,1424,530,0.7460421919822693
18.png,1824,940,person,579,452,603,544,0.7362411618232727
18.png,1824,940,traffic light,1153,377,1177,429,0.64508056640625
18.png,1824,940,person,611,453,628,529,0.6295395493507385
18.png,1824,940,traffic light,617,386,639,436,0.6164001226425171
18.png,1824,940,person,596,452,612,531,0.5984399318695068
18.png,1824,940,traffic light,1130,381,1152,429,0.5637824535369873
18.png,1824,940,traffic light,638,394,654,439,0.5325487852096558
18.png,1824,940,person,612,453,638,529,0.49631258845329285
18.png,1824,940,truck,1377,455,1421,492,0.42297229170799255
