precision,recall,TPR,TP,FP,FN,confidence,scenario,data_type
0.9565217391304348,0.7333333333333333,0.7333333333333333,22,1,8,0.3,RD_City_Sunny,Real
1.0,0.6333333333333333,0.6333333333333333,19,0,11,0.4,RD_City_Sunny,Real
1.0,0.5666666666666667,0.5666666666666667,17,0,13,0.5,RD_City_Sunny,Real
1.0,0.5333333333333333,0.5333333333333333,16,0,14,0.6000000000000001,RD_City_Sunny,Real
1.0,0.4,0.4,12,0,18,0.7000000000000002,RD_City_Sunny,Real
1.0,0.2,0.2,6,0,24,0.8000000000000003,RD_City_Sunny,Real
1.0,0.06666666666666667,0.06666666666666667,2,0,28,0.9000000000000001,RD_City_Sunny,Real
0.9629629629629629,0.896551724137931,0.896551724137931,26,1,3,0.3,SD_City_Sunny,Synthetic
0.9230769230769231,0.8275862068965517,0.8275862068965517,24,2,5,0.4,SD_City_Sunny,Synthetic
1.0,0.8275862068965517,0.8275862068965517,24,0,5,0.5,SD_City_Sunny,Synthetic
1.0,0.8275862068965517,0.8275862068965517,24,0,5,0.6000000000000001,SD_City_Sunny,Synthetic
1.0,0.6206896551724138,0.6206896551724138,18,0,11,0.7000000000000002,SD_City_Sunny,Synthetic
1.0,0.41379310344827586,0.41379310344827586,12,0,17,0.8000000000000003,SD_City_Sunny,Synthetic
1.0,0.1724137931034483,0.1724137931034483,5,0,24,0.9000000000000001,SD_City_Sunny,Synthetic
