Confidence,FPR,TP,FP,FN,Scenario
0.3,0.29411764705882354,7,5,12,SyntheticSD_night_highway
0.4,0.2,7,3,12,SyntheticSD_night_highway
0.5,0.2,7,3,12,SyntheticSD_night_highway
0.6000000000000001,0.13333333333333333,6,2,13,SyntheticSD_night_highway
0.7000000000000002,0.125,5,2,14,SyntheticSD_night_highway
0.8000000000000003,0.0,5,0,14,SyntheticSD_night_highway
0.9000000000000001,0.0,2,0,17,SyntheticSD_night_highway
0.3,0.34782608695652173,4,8,15,RealRD_night_highway
0.4,0.2857142857142857,4,6,15,RealRD_night_highway
0.5,0.21052631578947367,4,4,15,RealRD_night_highway
0.6000000000000001,0.21052631578947367,4,4,15,RealRD_night_highway
0.7000000000000002,0.11764705882352941,4,2,15,RealRD_night_highway
0.8000000000000003,0.11764705882352941,4,2,15,RealRD_night_highway
0.9000000000000001,0.05555555555555555,2,1,17,RealRD_night_highway
