precision,recall,TPR,TP,FP,FN,confidence,scenario,data_type
1.0,0.8,0.8,4,0,1,0.3,frame_1008_real,Real
1.0,0.8,0.8,4,0,1,0.4,frame_1008_real,Real
1.0,0.8,0.8,4,0,1,0.5,frame_1008_real,Real
1.0,0.6,0.6,3,0,2,0.6000000000000001,frame_1008_real,Real
1.0,0.4,0.4,2,0,3,0.7000000000000002,frame_1008_real,Real
1.0,0.4,0.4,2,0,3,0.8000000000000003,frame_1008_real,Real
1.0,0.2,0.2,1,0,4,0.9000000000000001,frame_1008_real,Real
1.0,0.8,0.8,4,0,1,0.3,frame_1008_syn,Synthetic
1.0,0.8,0.8,4,0,1,0.4,frame_1008_syn,Synthetic
1.0,0.6,0.6,3,0,2,0.5,frame_1008_syn,Synthetic
1.0,0.6,0.6,3,0,2,0.6000000000000001,frame_1008_syn,Synthetic
1.0,0.6,0.6,3,0,2,0.7000000000000002,frame_1008_syn,Synthetic
1.0,0.6,0.6,3,0,2,0.8000000000000003,frame_1008_syn,Synthetic
1.0,0.4,0.4,2,0,3,0.9000000000000001,frame_1008_syn,Synthetic
