Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_500.jpg,person,570,411,645,608,0.896663964,car,970,460,1013,493
Frame_500.jpg,car,923,462,955,488,0.792339027,car,923,462,955,488
Frame_500.jpg,car,971,462,1012,493,0.745013177,car,1089,456,1166,498
Frame_500.jpg,car,1088,458,1166,497,0.644558728,Person,563,405,652,615
Frame_500.jpg,person,1127,449,1148,499,0.469367027,car,946,451,979,483
Frame_500.jpg,,,,,,,Person,1129,449,1152,505
Frame_540.jpg,car,182,427,369,513,0.895344317,car,181,424,369,513
Frame_540.jpg,car,990,465,1018,489,0.78455162,car,990,465,1019,489
Frame_540.jpg,car,1445,454,1533,514,0.68028295,car,1466,453,1533,517
Frame_540.jpg,truck,1214,409,1296,504,0.618667245,car,843,457,913,512
Frame_540.jpg,person,1048,462,1062,495,0.370826185,Truck,1221,405,1302,509
Frame_540.jpg,car,843,461,907,509,0.304037064,Person,1046,457,1063,497
Frame_540.jpg,person,1369,452,1392,523,0.267492115,traffic light,907,427,917,451
Frame_540.jpg,truck,1529,389,1590,547,0.255891651,traffic light,918,430,928,452
Frame_540.jpg,car,843,475,895,509,0.252596706,traffic light,1088,430,1099,452
Frame_540.jpg,,,,,,,car,1442,466,1480,511
Frame_540.jpg,,,,,,,car,1524,385,1602,547
Frame_540.jpg,,,,,,,traffic light,1111,434,1120,460
Frame_864.jpg,car,477,413,923,623,0.813910604,car,479,412,923,622
Frame_864.jpg,stop sign,926,384,974,430,0.378624886,,,,,
Frame_1440.jpg,car,743,445,880,570,0.930093467,car,932,456,1063,557
Frame_1440.jpg,car,932,457,1062,556,0.912859499,car,1152,433,1183,458
Frame_1440.jpg,car,898,473,947,519,0.848483801,car,899,473,949,520
Frame_1440.jpg,car,1473,449,1568,513,0.784730971,car,1180,462,1230,490
Frame_1440.jpg,traffic light,1087,351,1113,410,0.773049474,car,743,444,880,570
Frame_1440.jpg,traffic light,1055,378,1071,422,0.745778918,car,1476,448,1569,520
Frame_1440.jpg,car,1182,462,1229,489,0.624314666,traffic light,648,360,675,426
Frame_1440.jpg,car,1151,434,1183,458,0.565763533,traffic light,666,354,707,425
Frame_1440.jpg,traffic light,669,358,696,417,0.49981159,traffic light,395,339,434,423
Frame_1440.jpg,traffic light,650,365,667,415,0.378387004,traffic light,1050,366,1075,427
Frame_1440.jpg,traffic light,650,358,696,419,0.260240585,traffic light,1082,346,1122,417
