Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_500.png,person,391,428,454,633,0.90564543,car,919,473,968,508
Frame_500.png,car,922,474,969,509,0.868440926,car,816,473,850,502
Frame_500.png,car,818,474,852,503,0.810970724,car,1073,474,1159,514
Frame_500.png,person,1111,452,1134,524,0.786669016,Person,391,424,453,642
Frame_500.png,car,1073,472,1161,513,0.752360582,Person,1110,449,1133,526
Frame_500.png,,,,,,,car,839,458,871,491
Frame_540.png,car,103,477,231,551,0.919156671,car,103,476,229,551
Frame_540.png,car,740,459,831,533,0.839621067,car,876,476,920,508
Frame_540.png,truck,1557,442,1698,537,0.820058763,car,737,460,834,536
Frame_540.png,truck,1228,397,1309,527,0.76329881,Person,1018,459,1038,516
Frame_540.png,car,878,476,922,508,0.75295943,traffic light,804,424,824,457
Frame_540.png,person,1020,463,1039,516,0.665550947,traffic light,1070,421,1084,451
Frame_540.png,traffic light,809,427,822,454,0.617135882,traffic light,1080,421,1096,452
Frame_540.png,person,734,458,750,499,0.445678443,Truck,1217,390,1309,536
Frame_540.png,traffic light,1074,423,1095,449,0.340727538,car,1561,433,1697,540
Frame_540.png,,,,,,,car,1538,466,1593,535
Frame_540.png,,,,,,,car,1698,412,1785,590
Frame_864.png,car,623,513,1045,707,0.947545409,car,623,511,1043,705
Frame_864.png,car,1664,470,1729,512,0.414059073,,,,,
Frame_1440.png,car,876,543,991,637,0.932022929,car,874,541,989,635
Frame_1440.png,car,1062,540,1190,637,0.925851583,car,1059,538,1188,636
Frame_1440.png,car,1358,506,1431,550,0.885845602,car,1355,505,1429,548
Frame_1440.png,car,1022,531,1092,594,0.879317939,car,1308,491,1354,524
Frame_1440.png,car,1311,492,1356,524,0.85853976,car,1020,530,1091,593
Frame_1440.png,traffic light,809,441,830,485,0.791518867,car,1615,490,1729,559
Frame_1440.png,traffic light,1218,444,1237,487,0.751456439,traffic light,803,433,830,494
Frame_1440.png,traffic light,549,439,564,480,0.694475591,traffic light,1156,448,1182,497
Frame_1440.png,traffic light,642,446,658,485,0.68300128,traffic light,1214,445,1239,491
Frame_1440.png,traffic light,1162,454,1178,489,0.627719283,traffic light,544,433,565,486
Frame_1440.png,car,1617,491,1731,559,0.613402545,traffic light,638,440,662,492
