Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_720.png,car,957,477,1037,540,0.901162505,Car,486,471,536,500
Frame_720.png,car,486,470,536,500,0.846990645,Car,600,454,648,489
Frame_720.png,car,603,455,634,487,0.378482193,Car,957,475,1037,540
Frame_900.png,truck,313,436,686,703,0.953695238,truck,313,433,685,699
Frame_900.png,car,951,477,1035,543,0.906096637,Car,953,476,1036,543
Frame_900.png,,,,,,,Car,899,470,926,488
Frame_1008.png,truck,631,444,883,635,0.909901917,Car,985,454,1026,502
Frame_1008.png,car,1028,477,1110,539,0.907501519,truck,631,442,883,633
Frame_1008.png,truck,984,454,1026,503,0.837000668,Car,1029,476,1110,538
Frame_1008.png,car,968,469,984,490,0.48309508,Car,967,469,992,494
Frame_1008.png,,,,,,,Car,922,470,947,486
Frame_1044.png,truck,801,448,985,600,0.901370466,truck,803,447,976,599
Frame_1044.png,car,1069,477,1155,541,0.900317073,Car,1004,453,1055,504
Frame_1044.png,truck,1003,454,1056,505,0.885091722,Car,1069,476,1156,540
