Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_612,car,814,471,852,498,0.800314784,Truck,936,421,1004,496
Frame_612,truck,876,438,981,538,0.694917321,Truck,870,436,979,538
Frame_612,truck,952,423,1005,497,0.596616089,car,805,463,859,502
Frame_612,car,222,483,356,531,0.57238996,,,,,
Frame_612,car,769,466,789,477,0.426019073,,,,,
Frame_612,car,846,472,863,487,0.271381706,,,,,
Frame_648,truck,218,432,328,514,0.812340736,Truck,947,421,1023,507
Frame_648,bus,956,425,1024,508,0.807324827,Truck,833,431,957,552
Frame_648,bus,836,434,958,554,0.563670695,car,824,472,849,503
Frame_648,truck,502,441,605,490,0.548446894,,,,,
Frame_864,car,742,465,804,518,0.87269181,Truck,825,324,1007,561
Frame_864,truck,443,404,688,620,0.866383553,Truck,440,400,686,618
Frame_864,truck,828,325,1012,563,0.704157233,car,740,463,803,516
Frame_864,car,690,469,712,483,0.483807474,,,,,
Frame_864,car,803,470,818,483,0.321305692,,,,,
Frame_900,truck,781,294,1003,581,0.882066905,Truck,454,407,675,598
Frame_900,truck,455,411,676,600,0.878460944,Truck,779,290,1000,579
Frame_900,car,752,461,796,514,0.782613158,car,751,455,796,513
