Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_612,car,672,602,722,637,0.862858474,Truck,766,559,865,674
Frame_612,truck,769,561,866,674,0.852158189,car,671,601,722,637
Frame_612,truck,839,552,920,643,0.761777103,Truck,834,540,915,636
Frame_648,truck,832,555,947,688,0.853965759,Truck,829,552,945,687
Frame_648,truck,945,548,1031,647,0.826985538,Truck,943,546,1029,646
Frame_648,car,807,601,833,627,0.678432167,car,803,595,836,635
Frame_864,truck,351,481,639,783,0.853987992,Truck,350,478,637,781
Frame_864,car,646,605,726,660,0.752349019,car,645,602,725,659
Frame_864,bench,0,613,354,673,0.314542264,Truck,749,482,953,732
Frame_864,chair,746,485,945,721,0.286708772,,,,,
Frame_900,truck,449,507,700,748,0.8707008361816406,Truck,448,504,699,748
Frame_900,car,745,606,813,651,0.8397321105003357,Truck,760,459,1012,747
Frame_900,bench,775,632,997,734,0.6185504198074341,car,704,598,747,636
Frame_900,car,706,601,751,633,0.5704379081726074,car,744,606,811,649
