Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
frame_36.jpg,truck,835,498,965,569,0.662279904,car,817,455,977,565
frame_36.jpg,,,,,,,Truck,949,399,1025,493
frame_36.jpg,,,,,,,car,542,449,624,503
frame_36.jpg,,,,,,,Truck,825,419,873,465
frame_36.jpg,,,,,,,Truck,911,428,947,465
frame_72.jpg,truck,966,414,1037,502,0.417449862,car,819,465,956,564
frame_72.jpg,truck,831,469,949,565,0.397803754,Truck,893,445,923,479
frame_72.jpg,,,,,,,Truck,961,401,1038,502
frame_72.jpg,,,,,,,car,805,453,825,471
frame_72.jpg,,,,,,,Truck,917,434,956,478
frame_252.jpg,truck,1062,223,1417,599,0.96176976,car,269,470,544,672
frame_252.jpg,car,277,474,545,674,0.933625042,Truck,1051,200,1436,600
frame_252.jpg,car,895,475,954,520,0.812636554,Truck,963,429,1016,500
frame_252.jpg,bus,954,436,1015,502,0.464087814,car,887,471,954,520
frame_288.jpg,car,356,476,595,654,0.914319992,car,354,472,593,651
frame_288.jpg,truck,1137,2,1822,786,0.831926525,Truck,1110,0,1820,801
frame_288.jpg,car,892,475,943,516,0.827925861,car,846,462,888,500
frame_288.jpg,bus,976,430,1034,508,0.630208015,car,889,470,946,516
frame_288.jpg,car,856,471,887,495,0.364001364,Truck,966,413,1044,516
