Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_1.png,car,440,488,566,614,0.909256637,Person,1141,477,1171,571
Frame_1.png,car,270,513,483,681,0.905685663,Traffic light,1023,335,1039,356
Frame_1.png,car,1010,487,1116,538,0.883190155,Car,862,491,924,530
Frame_1.png,car,862,494,922,531,0.768239021,Car,269,512,483,673
Frame_1.png,car,781,491,815,514,0.609883666,Car,1010,486,1117,538
Frame_1.png,car,739,491,759,506,0.449039727,Car,440,487,567,615
Frame_1.png,car,766,490,783,509,0.374706894,Car,792,492,819,516
Frame_1.png,,,,,,,Car,782,492,800,512
Frame_1.png,,,,,,,Traffic light,542,373,568,396
Frame_360.png,car,1292,451,1654,722,0.942626536,Car,159,457,485,743
Frame_360.png,car,158,458,486,745,0.939451873,Car,1294,450,1654,723
Frame_360.png,truck,1111,290,1397,630,0.905374587,Car,623,472,764,578
Frame_360.png,car,624,473,766,579,0.899929285,Car,1034,464,1146,574
Frame_360.png,car,1033,465,1138,577,0.874424219,Car,839,472,878,510
Frame_360.png,car,700,465,792,559,0.856375217,Car,701,465,791,555
Frame_360.png,car,779,473,835,529,0.821613491,Car,780,473,845,529
Frame_360.png,car,838,473,876,509,0.801194489,Car,823,476,845,523
Frame_360.png,truck,953,446,1011,512,0.76651454,Truck,1109,287,1396,626
Frame_360.png,car,901,476,921,494,0.6876899,Truck,957,445,1011,513
Frame_360.png,car,826,476,846,523,0.683798969,Truck,940,456,961,503
Frame_360.png,car,928,479,943,498,0.667621553,Car,928,479,945,497
Frame_360.png,car,942,479,960,504,0.355678648,,,,,
Frame_360.png,car,887,477,901,491,0.311558515,,,,,
Frame_540.png,car,538,474,728,611,0.930140316,Car,1073,465,1248,617
Frame_540.png,car,1072,465,1245,616,0.926123977,Car,539,473,725,610
Frame_540.png,truck,1214,176,1684,746,0.887199998,Car,0,448,143,798
Frame_540.png,car,655,465,768,582,0.88372457,Car,833,477,875,518
Frame_540.png,truck,960,448,1021,521,0.851561308,Car,655,465,766,581
Frame_540.png,car,833,477,875,518,0.807671607,Car,815,480,839,534
Frame_540.png,car,760,476,824,542,0.805536926,Car,760,476,824,541
Frame_540.png,car,900,479,921,500,0.699036837,Truck,1210,173,1699,743
Frame_540.png,car,929,484,945,505,0.632735431,Truck,960,447,1022,521
Frame_540.png,car,816,481,840,528,0.545692623,Car,929,483,946,505
Frame_540.png,car,0,449,143,796,0.536808908,Truck,942,459,963,512
