Frame Number,Predicted Class Name,Predicted X-min,Predicted Y-min,Predicted X-max,Predicted Y-max,Confidence,Ground Truth Class Name,Ground Truth X-min,Ground Truth Y-min,Ground Truth X-max,Ground Truth Y-max
Frame_1.png,car,192,468,392,634,0.948702097,Car,193,468,391,633
Frame_1.png,car,350,444,502,596,0.925976276,Car,830,473,904,525
Frame_1.png,car,921,468,1073,532,0.905384243,Car,921,468,1071,534
Frame_1.png,car,830,473,904,525,0.887678325,Car,350,444,502,592
Frame_1.png,car,770,471,816,507,0.796228111,Car,772,471,815,508
Frame_1.png,car,754,472,780,505,0.674384952,Car,751,472,784,502
Frame_1.png,,,,,,,Traffic light,1002,359,1038,396
Frame_1.png,,,,,,,Traffic light,441,362,473,398
Frame_1.png,,,,,,,Person,1114,480,1137,562
Frame_360.png,car,447,464,641,611,0.935985088,Car,447,464,641,609
Frame_360.png,car,1253,447,1525,657,0.933095336,Car,713,471,813,536
Frame_360.png,truck,1124,425,1256,571,0.878677905,Car,1255,448,1525,649
Frame_360.png,car,713,471,814,537,0.87500459,Car,803,461,866,513
Frame_360.png,car,803,461,866,516,0.833834291,Car,0,505,180,807
Frame_360.png,car,855,463,895,504,0.801220417,Car,1072,467,1127,528
Frame_360.png,car,1073,468,1126,532,0.725142717,Car,851,462,893,502
Frame_360.png,car,890,464,910,491,0.638794243,Truck,1122,425,1254,564
Frame_360.png,car,0,506,181,809,0.578344107,Truck,1013,447,1060,495
Frame_360.png,,,,,,,Truck,999,457,1015,487
Frame_360.png,,,,,,,Car,889,465,912,489
Frame_360.png,,,,,,,Car,884,466,898,496
Frame_540.png,car,1160,467,1289,568,0.910483956,Car,587,472,758,583
Frame_540.png,car,587,473,758,585,0.908861578,Car,1159,467,1289,563
Frame_540.png,car,759,458,849,532,0.901522279,Car,0,466,144,811
Frame_540.png,truck,1310,376,1630,691,0.866869628,Car,761,458,848,532
Frame_540.png,car,0,466,144,809,0.824366152,Car,885,462,910,499
Frame_540.png,car,838,461,893,510,0.749563932,Car,837,461,909,507
Frame_540.png,car,885,463,911,496,0.590690553,Truck,1309,376,1631,682
Frame_540.png,,,,,,,Truck,1031,444,1087,502
Frame_540.png,,,,,,,Car,835,462,885,510
Frame_540.png,,,,,,,Truck,1011,454,1035,491
Frame_540.png,,,,,,,Car,878,460,893,504
