precision,recall,TPR,TP,FP,FN,confidence,scenario,data_type
0.6470588235294118,0.9166666666666666,0.9166666666666666,11,6,1,0.3,RD_highway_sunny,Real
0.6875,0.9166666666666666,0.9166666666666666,11,5,1,0.4,RD_highway_sunny,Real
0.7857142857142857,0.9166666666666666,0.9166666666666666,11,3,1,0.5,RD_highway_sunny,Real
0.9,0.75,0.75,9,1,3,0.6000000000000001,RD_highway_sunny,Real
0.8888888888888888,0.6666666666666666,0.6666666666666666,8,1,4,0.7000000000000002,RD_highway_sunny,Real
0.8571428571428571,0.5,0.5,6,1,6,0.8000000000000003,RD_highway_sunny,Real
0.0,0.0,0.0,0,0,12,0.9000000000000001,RD_highway_sunny,Real
0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,0.3,SD_highway_sunny,Synthetic
1.0,0.9230769230769231,0.9230769230769231,12,0,1,0.4,SD_highway_sunny,Synthetic
1.0,0.9230769230769231,0.9230769230769231,12,0,1,0.5,SD_highway_sunny,Synthetic
1.0,0.8461538461538461,0.8461538461538461,11,0,2,0.6000000000000001,SD_highway_sunny,Synthetic
1.0,0.6923076923076923,0.6923076923076923,9,0,4,0.7000000000000002,SD_highway_sunny,Synthetic
1.0,0.5384615384615384,0.5384615384615384,7,0,6,0.8000000000000003,SD_highway_sunny,Synthetic
0.0,0.0,0.0,0,0,13,0.9000000000000001,SD_highway_sunny,Synthetic
