Confidence,FPR,TP,FP,FN,Scenario
0.3,0.4444444444444444,19,8,10,SyntheticSD_Sunny_City
0.4,0.42105263157894735,18,8,11,SyntheticSD_Sunny_City
0.5,0.35294117647058826,18,6,11,SyntheticSD_Sunny_City
0.6000000000000001,0.35294117647058826,18,6,11,SyntheticSD_Sunny_City
0.7000000000000002,0.21052631578947367,14,4,15,SyntheticSD_Sunny_City
0.8000000000000003,0.09523809523809523,10,2,19,SyntheticSD_Sunny_City
0.9000000000000001,0.038461538461538464,4,1,25,SyntheticSD_Sunny_City
0.3,0.3333333333333333,16,7,14,RealRD_Sunny_City
0.4,0.21052631578947367,15,4,15,RealRD_Sunny_City
0.5,0.15789473684210525,14,3,16,RealRD_Sunny_City
0.6000000000000001,0.15,13,3,17,RealRD_Sunny_City
0.7000000000000002,0.09090909090909091,10,2,20,RealRD_Sunny_City
0.8000000000000003,0.038461538461538464,5,1,25,RealRD_Sunny_City
0.9000000000000001,0.0,2,0,28,RealRD_Sunny_City
