Image,TPR,FPR,TP,FP,FN
Frame_1044.jpg,0.6,0.25,3,1,2
Frame_1008.jpg,1.0,0.0,5,0,0
Frame_1008.jpg,1.0,0.0,5,0,0
Frame_1008_visibility100m..png,0.8,0.0,4,0,1
Frame_1044.jpg,0.6,0.25,3,1,2
Frame_1008.png,1.0,0.0,5,0,0
Frame_1008_FOG_100m.png,0.8,0.0,4,0,1
Frame_1044.png,1.0,0.0,4,0,0
Frame_1008.png,1.0,0.0,5,0,0
Frame_1008_FOG_100m.png,0.8,0.0,4,0,1
Frame_1044.png,1.0,0.0,4,0,0
RD_frame_1008.png,1.0,0.0,4,0,0
RD_frame_1044.png,1.0,0.25,3,1,0
RD_frame_1008.png,0.8,0.0,4,0,1
RD_frame_1044.png,0.75,0.25,3,1,1
RD_frame_1008.png,0.8,0.0,4,0,1
RD_frame_1044.png,0.75,0.25,3,1,1
RD_frame_1008.png,0.4,0.0,2,0,3
RD_frame_1044.png,0.5,0.0,2,0,2
RD_frame_1008.png,0.8,0.0,4,0,1
RD_frame_1044.png,0.75,0.0,3,0,1
RD_frame_1008.png,0.8,0.0,4,0,1
RD_frame_1044.png,0.75,0.0,3,0,1
RD_frame_1008.png,0.8,0.0,4,0,1
RD_frame_1044.png,0.75,0.25,3,1,1
SD_Frame_1008.png,0.8,0.0,4,0,1
SD_Frame_1044.png,1.0,0.0,4,0,0
SD_Frame_1008.png,0.8,0.0,4,0,1
SD_Frame_1044.png,1.0,0.0,4,0,0
