filename,class,xmin,ymin,xmax,ymax,confidence
17.png,car,372,450,562,603,0.9243329167366028
17.png,car,1276,482,1340,534,0.8700640797615051
17.png,car,673,479,734,517,0.8657364845275879
17.png,person,742,453,780,551,0.8599847555160522
17.png,person,605,455,625,524,0.8465771675109863
17.png,person,558,457,578,522,0.7379889488220215
17.png,car,1248,479,1288,522,0.7187502980232239
17.png,person,539,457,559,504,0.6962647438049316
17.png,traffic light,572,399,589,441,0.6253267526626587
17.png,traffic light,586,405,599,444,0.5545452833175659
17.png,traffic light,1024,390,1045,435,0.4245773255825043
17.png,person,522,457,535,484,0.38552889227867126
17.png,traffic light,1005,393,1029,435,0.350206196308136
17.png,car,1722,536,1823,747,0.26578962802886963
